GD	CN-GD	Guangdong Province[g]	广东省
Guǎngdōng Shěng	Guangzhou	104,303,132	579.46	180,000	粤 
Yuè
SD	CN-SD	Shandong Province	山东省
Shāndōng Shěng	Jinan	95,793,065	622.84	153,800	鲁 
Lǔ
HA (HEN)	CN-HA	Henan Province	河南省
Hénán Shěng	Zhengzhou	94,023,567	563.01	167,000	豫(予) 
Yù
SC	CN-SC	Sichuan Province	四川省
Sìchuān Shěng	Chengdu	80,418,200	165.81	485,000	川(蜀)
Chuān (Shǔ)
JS	CN-JS	Jiangsu Province	江苏省
Jiāngsū Shěng	Nanjing	78,659,903	766.66	102,600	苏 
Sū
HE (HEB)	CN-HE	Hebei Province	河北省
Héběi Shěng	Shijiazhuang	71,854,202	382.81	187,700	冀
Jì
HN (HUN)	CN-HN	Hunan Province	湖南省
Húnán Shěng	Changsha	65,683,722	312.77	210,000	湘 
Xiāng
AH	CN-AH	Anhui Province	安徽省
Ānhuī Shěng	Hefei	59,500,510	425.91	139,700	皖 
Wǎn
HB (HUB)	CN-HB	Hubei Province	湖北省
Húběi Shěng	Wuhan	57,237,740	307.89	185,900	鄂 
È
ZJ	CN-ZJ	Zhejiang Province	浙江省
Zhèjiāng Shěng	Hangzhou	54,426,891	533.59	102,000	浙 
Zhè
GX	CN-GX	Guangxi Zhuang Autonomous Region	广西壮族自治区
Guǎngxī Zhuàngzú Zìzhìqū	Nanning	46,026,629	195.02	236,000	桂 
Guì
YN	CN-YN	Yunnan Province	云南省
Yúnnán Shěng	Kunming	45,966,239	116.66	394,000	云(滇) 
Yún (Diān)
JX	CN-JX	Jiangxi Province	江西省
Jiāngxī Shěng	Nanchang	44,567,475	266.87	167,000	赣(干) 
Gàn
LN	CN-LN	Liaoning Province	辽宁省
Liáoníng Shěng	Shenyang	43,746,323	299.83	145,900	辽 
Liáo
HL	CN-HL	Heilongjiang Province	黑龙江省
Hēilóngjiāng Shěng	Harbin	38,312,224	84.38	454,000	黑
Hēi
SN (SAA)	CN-SN	Shaanxi Province	陕西省
Shǎnxī Shěng	Xi'an	37,327,378	181.55	205,600	陕(秦) 
Shǎn (Qín)
FJ	CN-FJ	Fujian Province[e]	福建省
Fújiàn Shěng	Fuzhou (PRC)
Jincheng (ROC)[f]	36,894,216	304.15	121,580	闽 
Mǐn
SX (SAX)	CN-SX	Shanxi Province	山西省
Shānxī Shěng	Taiyuan	35,712,111	228.48	156,300	晋
Jìn
GZ	CN-GZ	Guizhou Province	贵州省
Guìzhōu Shěng	Guiyang	34,746,468	197.42	176,000	贵(黔) 
Guì (Qián)
CQ	CN-CQ	Chongqing Municipality	重庆市
Chóngqìng Shì	Chongqing	28,846,170	350.50	82,300	渝 
Yú
JL	CN-JL	Jilin Province	吉林省
Jílín Shěng	Changchun	27,462,297	146.54	187,400	吉 
Jí
GS	CN-GS	Gansu Province	甘肃省
Gānsù Shěng	Lanzhou	25,575,254	56.29	454,300	甘(陇) 
Gān (Lǒng)
NM	CN-NM	Inner Mongolia Autonomous Region	內蒙古自治区
Nèi Měnggǔ Zìzhìqū	Hohhot	24,706,321	20.88	1,183,000	蒙 
Měng
TW	CN-TW[k]	Taiwan Province[l]	台湾省
Táiwān Shěng	Taipei (PRC Claimed) Zhongxing New Village (ROC)[m]	23,162,123	650.97	36,161	台 
Tái
SH	CN-SH	Shanghai Municipality	上海市
Shànghǎi Shì	Shanghai	23,019,148	3,630.20	6,341	沪 
Hù
XJ	CN-XJ	Xinjiang Uyghur Autonomous Region	新疆维吾尔自治区
Xīnjiāng Wéiwú'ěr Zìzhìqū	Ürümqi	21,813,334	13.13	1,660,400	新 
Xīn
BJ	CN-BJ	Beijing Municipality	北京市
Běijīng Shì	Beijing	19,612,368	1,167.40	16,800	京
Jīng
TJ	CN-TJ	Tianjin Municipality	天津市
Tiānjīn Shì	Tianjin	12,938,224	1,144.46	11,305	津
Jīn
HI	CN-HI	Hainan Province[h]	海南省
Hǎinán Shěng	Haikou	9,171,300[8]	255.04	34,000	琼
Qióng
HK	CN-HK[i]	Hong Kong Special Administrative Region	香港特别行政区
Xiānggǎng Tèbié Xíngzhèngqū	Hong Kong	7,061,200	6,396.01	1,108	港 
Gǎng
NX	CN-NX	Ningxia Hui Autonomous Region	宁夏回族自治区
Níngxià Huízú Zìzhìqū	Yinchuan	6,301,350	94.89	66,400	宁 
Níng
QH	CN-QH	Qinghai Province	青海省
Qīnghǎi Shěng	Xining	5,626,722	7.80	721,200	青 
Qīng
XZ	CN-XZ	Tibet Autonomous Region	西藏自治区
Xīzàng Zìzhìqū	Lhasa	3,002,166	2.44	1,228,400	藏(䒙) 
Zàng
MO	CN-MO[j]	Macau Special Administrative Region	澳门特别行政区
Àomén Tèbié Xíngzhèngqū	Macau	552,300	19,044.82	29	澳(沃) 
Ào